اسم الملف,الأحاديث المعالجة,توكنز المدخلات,توكنز المخرجات,وقت المعالجة (ثانية),التوكنز في الثانية,متوسط الوقت لكل حديث (ثانية)
1529.json,1,1781,717,53.66,46.56,53.66
1530.json,1,1784,742,63.94,39.5,63.94
1531.json,1,1594,688,37.42,60.99,37.42
1532.json,1,1572,780,33.28,70.67,33.28
1533.json,1,1769,706,41.58,59.53,41.58
1534.json,1,1697,634,40.89,57.01,40.89
1535.json,1,2066,718,48.36,57.57,48.36
1536.json,1,2440,867,60.58,54.59,60.58
1537.json,1,1253,614,34.41,54.26,34.41
1538.json,1,1349,817,47.81,45.31,47.81
1539.json,1,1290,614,35.55,53.55,35.55
1540.json,1,1247,607,61.79,30.01,61.79
1541.json,1,1854,686,78.92,32.18,78.92
1543.json,1,2516,809,109.1,30.48,109.1
1544.json,1,1780,655,94.71,25.71,94.71
1545.json,1,2713,748,87.38,39.61,87.38
1546.json,1,1924,796,103.35,26.32,103.35
1547.json,1,2046,910,67.99,43.48,67.99
1548.json,1,1653,551,63.69,34.61,63.69
1549.json,1,1387,847,78.36,28.51,78.36
1550.json,1,1655,651,61.95,37.22,61.95
1551.json,1,2244,814,75.9,40.29,75.9
1552.json,1,2115,914,42.19,71.8,42.19
1553.json,1,2311,790,55.78,55.59,55.78
1554.json,1,2209,1106,52.51,63.13,52.51
1555.json,1,1694,715,78.07,30.86,78.07
1556.json,1,2613,941,68.71,51.72,68.71
1557.json,1,1493,693,51.45,42.49,51.45
1558.json,1,1762,772,36.09,70.22,36.09
1559.json,1,2758,810,61.28,58.22,61.28
1560.json,1,3932,915,85.92,56.41,85.92
1561.json,1,2964,821,64.09,59.06,64.09
1562.json,1,2062,771,50.57,56.02,50.57
1563.json,1,2275,784,45.91,66.63,45.91
1564.json,1,2023,750,50.59,54.81,50.59
1565.json,1,1441,632,44.9,46.17,44.9
1566.json,1,1639,766,55.2,43.57,55.2
1567.json,1,2090,734,71.76,39.35,71.76
1568.json,1,2657,820,50.17,69.3,50.17
1569.json,1,2249,698,53.74,54.84,53.74
1570.json,1,1599,667,44.19,51.28,44.19
1571.json,1,1542,670,59.59,37.12,59.59
1572.json,1,3579,927,45.85,98.29,45.85
1573.json,1,1781,939,63.49,42.84,63.49
1574.json,1,1707,702,79.74,30.21,79.74
1575.json,1,1459,759,41.37,53.61,41.37
1576.json,1,1476,679,30.76,70.07,30.76
